id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
1191,遷,,辵,15,S,,,changer
1192,選,,辵,15,4,,,sélection
1193,薦,,艸,16,S,,,Riz sauvage de Mandchourie (Zizania latifolia)
1194,繊,纖,糸,17,S,,,julienne de daïkon
1195,鮮,,魚,17,S,,,frais
1196,全,,入,6,3,,,tous
1197,前,,刀,9,2,,,"le dernier (c'est-à-dire celui qui précède immédiatement) (par exemple, ""le dernier maire"")"
1198,善,,口,12,6,,,bon
1199,然,,火,12,4,,,de cette manière (concernant les actions de l'auditeur ou concernant les idées exprimées ou comprises par l'auditeur)
1200,禅,禪,示,13,S,,,Zen (bouddhisme)
1201,漸,,水,14,S,,,un moment
1202,膳,,肉,16,S,2010.0,,repas
1203,繕,,糸,18,S,,,réparation
1204,狙,,犬,8,S,2010.0,,objectif
1205,阻,,阜,8,S,,,obstruction
1206,祖,祖,示,9,5,,,parent
1207,租,,禾,10,S,,,taxe
1208,素,,糸,10,5,,,lieu (de quelqu'un)
1209,措,,手,11,S,,,comportement
1210,粗,,米,11,S,,,brut
1211,組,,糸,11,2,,,la famille (c'est-à-dire la mafia)
1212,疎,,疋,12,S,,,clairsemé
1213,訴,,言,12,S,,,plainte
1214,塑,,土,13,S,,,plastique
1215,遡,,辵,14,S,2010.0,,"revenir en arrière (dans le temps, vers le passé)"
1216,礎,,石,18,S,,,pierre angulaire
1217,双,雙,隹,4,S,,,à la fois
1218,壮,壯,士,6,S,,,(surtout pour les hommes) la force de l'âge (environ 30 ans)
1219,早,,日,6,1,,,précoce
1220,争,爭,爪,6,4,,,litige
1221,走,,走,7,2,,,courir
1222,奏,,大,9,6,,,rapport
1223,相,,目,9,3,,,son destin
1224,荘,莊,艸,9,S,,,compteur pour les jeux de mahjong
1225,草,,艸,9,1,,,herbe
1226,送,,辵,9,3,,,transfert (d'un condamné vers une autre prison)
1227,倉,,人,10,4,,,entrepôt
1228,捜,搜,手,10,S,,,recherche (en particulier d'une chose perdue)
1229,挿,插,手,10,S,1981.0,,comptoir pour les sucreries japonaises longues et fines (par ex. youkan)
1230,桑,,木,10,S,,,mûrier (arbre)
1231,巣,巢,巛,11,4,,,nid
1232,掃,,手,11,S,,,balayage
1233,曹,,曰,11,S,1981.0,,sergent (JSDF)
1234,曽,曾,曰,11,S,2010.0,,"grand (c'est-à-dire arrière-petit-fils, arrière-grand-mère)"
1235,爽,,爻,11,S,2010.0,,rafraîchissant
1236,窓,,穴,11,6,,,fenêtre
1237,創,,刀,12,6,,,gash
1238,喪,,口,12,S,,,deuil
1239,痩,瘦,疒,12,S,2010.0,,mince
1240,葬,,艸,12,S,,,funérailles
1241,装,裝,衣,12,6,,,vêtements
1242,僧,僧,人,13,S,,,prêtre
1243,想,,心,13,3,,,idée
1244,層,層,尸,14,6,,,couche
1245,総,總,糸,14,5,,,tous
1246,遭,,辵,14,S,,,rencontre
1247,槽,,木,15,S,1981.0,,réservoir
1248,踪,,足,15,S,2010.0,,disparition
1249,操,,手,16,6,,,chasteté
1250,燥,,火,17,S,,,séchage
1251,霜,,雨,17,S,,,givre
1252,騒,騷,馬,18,S,,,bruit
1253,藻,,艸,19,S,1981.0,,algues
1254,造,,辵,10,5,,,-Fabriqué
1255,像,,人,14,5,,,image
1256,増,增,土,14,5,,,augmenter
1257,憎,憎,心,14,S,,,haineux
1258,蔵,藏,艸,15,6,,,entrepôt
1259,贈,贈,貝,18,S,,,cadeau
1260,臓,臟,肉,19,6,,,intestins
1261,即,卽,卩,7,S,,,immédiatement
1262,束,,木,7,4,,,"compteur pour les grandes liasses (par exemple, 10 gerbes de riz, 200 feuilles par personne)"
1263,足,,足,7,1,,,pied
1264,促,,人,9,S,,,règne (i.e. d'un dirigeant)
1265,則,,刀,9,5,,,règle
1266,息,,心,10,3,,,souffle
1267,捉,,手,10,S,2010.0,,saisie
1268,速,,辵,10,3,,,engrenage
1269,側,,人,11,4,,,"côté (de quelque chose, ou prendre le parti de quelqu'un)"
1270,測,,水,12,5,,,mesure
1271,俗,,人,9,S,,,le monde
1272,族,,方,11,3,,,tribu (taxonomique)
1273,属,屬,尸,12,5,,,genre
1274,賊,,貝,13,S,,,ressentiment
1275,続,續,糸,13,4,,,suite
1276,卒,,十,8,4,,,samouraïs de rang inférieur (1870-1872)
1277,率,,玄,11,5,,,taux
1278,存,,子,6,6,,,l'existence
1279,村,,木,7,1,,,village
1280,孫,,子,10,4,,,petit-enfant
1281,尊,,寸,12,6,,,valeur
1282,損,,手,13,5,,,perte
1283,遜,,辵,14,S,2010.0,,irrévérence
1284,他,,人,5,3,,,autres (en particulier les personnes et les sujets abstraits)
1285,多,,夕,6,2,,,multi
1286,汰,,水,7,S,2010.0,,abattage
1287,打,,手,5,3,,,douzaine
1288,妥,,女,7,S,,,la satisfaction de l'empereur
1289,唾,,口,11,S,2010.0,,cracher
1290,堕,墮,土,12,S,,,omission
1291,惰,,心,12,S,,,inertie
1292,駄,,馬,14,S,1981.0,,pauvres
1293,太,,大,4,2,,,gras
1294,対,對,寸,7,3,,,"comptoir pour les ensembles (vêtements, petits meubles, ustensiles, etc.)"
1295,体,體,骨,7,2,,,"compteur de formes humanoïdes (poupées, statues, cadavres, etc.)"
1296,耐,,而,9,S,,,résistant
1297,待,,彳,9,3,,,attendre
1298,怠,,心,9,S,,,paresse
1299,胎,,肉,9,S,,,utérus
1300,退,,辵,9,5,,,dégénérescence
1301,帯,帶,巾,10,4,,,"ceinture (par exemple, d'un kimono)"
1302,泰,,水,10,S,,,Thaïlande
1303,堆,,土,11,S,2010.0,,empilés en hauteur
1304,袋,,衣,11,S,,,sac
1305,逮,,辵,11,S,,,arrestation
1306,替,,曰,12,S,,,substitut
1307,貸,,貝,12,5,,,prêt
1308,隊,,阜,12,4,,,corps
1309,滞,滯,水,13,S,,,stagnation
1310,態,,心,14,5,,,État
1311,戴,,戈,17,S,2010.0,,couronne (de tête)
1312,大,,大,3,1,,,"grande (par exemple, la taille d'une portion)"
1313,代,,人,5,3,,,utilisé après un numéro de téléphone pour indiquer qu'il s'agit d'un numéro de standard téléphonique
1314,台,臺,至,5,2,,,"gamme (par exemple, après les unités physiques)"
1315,第,,竹,11,3,,,ordinal
1316,題,,頁,18,3,,,sujet
1317,滝,瀧,水,13,S,,,chute d'eau
1318,宅,,宀,6,6,,,maison
1319,択,擇,手,7,S,,,"compteur de choix, d'options, etc."
1320,沢,澤,水,7,S,,,marais
1321,卓,,十,8,S,,,table
1322,拓,,手,8,S,,,culture
1323,託,,言,10,S,,,excuse
1324,濯,,水,17,S,1981.0,,rincer
1325,諾,,言,15,S,,,assentiment
1326,濁,,水,16,S,,,"boue (par exemple, eau, esprit, conscience)"
1327,但,,人,7,S,,,en l'état
1328,達,,辵,12,4,,,suffixe de pluriel (notamment pour les personnes
1329,脱,,肉,11,S,,,"de- (indiquant l'inversion, la suppression, etc.)"
1330,奪,,大,14,S,,,vol
1331,棚,,木,12,S,1981.0,,étagères
1332,誰,,言,15,S,2010.0,,qui
1333,丹,,丶,4,S,,,terre rouge (c'est-à-dire contenant du cinabre ou du minium)
1334,旦,,日,5,S,2010.0,,une fois
1335,担,擔,手,8,6,,,"support (par exemple, d'un élément agissant comme catalyseur)"
1336,単,單,口,9,4,,,unique
1337,炭,,火,9,3,,,charbon de bois
1338,胆,膽,肉,9,S,,,foie
1339,探,,手,11,6,,,rechercher (en particulier quelqu'un ou quelque chose qui manque)
1340,淡,,水,11,S,,,"lumière (couleur, couleur, goût)"
1341,短,,矢,12,3,,,court
1342,嘆,嘆,口,13,S,,,lamentation
1343,端,,立,14,S,,,pour les kimonos : au moins 10 m de long
1344,綻,,糸,14,S,2010.0,,couture qui s'est détachée
1345,誕,,言,15,6,,,nativité
1346,鍛,,金,17,S,,,forgeage
1347,団,團,囗,6,5,,,groupe
1348,男,,田,7,1,,,homme
1349,段,,殳,9,6,,,(rangée de) points
1350,断,斷,斤,11,5,,,décision
1351,弾,彈,弓,12,S,,,boule (c'est-à-dire un testicule)
1352,暖,,日,13,6,,,chaleur
1353,談,,言,15,3,,,histoire
1354,壇,,土,16,S,,,plateforme
1355,地,,土,6,2,,,(dans la musique japonaise) phrase de base (généralement répétitive)
1356,池,,水,6,2,,,étang
1357,知,,矢,8,2,,,la sagesse
1358,値,,人,10,6,,,valeur
1359,恥,,心,10,S,,,honte
1360,致,,至,10,S,,,dix mille sextillions (longue échelle)
1361,遅,遲,辵,12,S,,,tardive
1362,痴,癡,疒,13,S,,,"moha (ignorance, folie)"
1363,稚,,禾,13,S,,,jeune
1364,置,,网,13,4,,,lieu
1365,緻,,糸,16,S,2010.0,,capacité
1366,竹,,竹,6,1,,,bambou
1367,畜,,田,10,S,,,le bétail
1368,逐,,辵,10,S,,,(après un nom) reposant entièrement sur ...
1369,蓄,,艸,13,S,,,magasin
1370,築,,竹,16,5,,,bâtiment
1371,秩,,禾,10,S,,,avis officiel
1372,窒,,穴,11,S,,,nitrure (de ...)
1373,茶,,艸,9,2,,,thé
1374,着,,羊,12,3,,,vêtements
1375,嫡,,女,14,S,,,gendre aîné
1376,中,,丨,4,1,,,pendant (un certain moment où l'on a fait ou fait quelque chose)
1377,仲,,人,6,4,,,relation
1378,虫,蟲,虫,6,1,,,insecte
1379,沖,,水,7,S,,,haute mer
1380,宙,,宀,8,6,,,espace
1381,忠,,心,8,6,,,loyauté
1382,抽,,手,8,S,,,tirage au sort
1383,注,,水,8,3,,,annotation
1384,昼,晝,日,9,2,,,jour
1385,柱,,木,9,3,,,pilier
1386,衷,,衣,10,S,,,partie intérieure
1387,酎,,酉,10,S,2010.0,,shochu
1388,鋳,鑄,金,15,S,,,casting
1389,駐,,馬,15,S,,,le stationnement (par exemple des véhicules)
1390,著,著,艸,11,6,,,travail
1391,貯,,貝,12,4,,,l'épargne
1392,丁,,一,2,3,,,nombre pair
1393,弔,,弓,4,S,,,deuil
1394,庁,廳,广,5,6,,,agence
1395,兆,,儿,6,4,,,présage
1396,町,,田,7,1,,,ville
1397,長,,長,8,2,,,"chef (de famille, etc.)"
1398,挑,,手,9,S,1981.0,,défi
1399,帳,,巾,11,3,,,livre
1400,張,,弓,11,5,,,"Constellation chinoise ""Extended Net"" (une des 28 demeures)"
1401,彫,,彡,11,S,,,des traits ciselés
1402,眺,,目,11,S,1981.0,,vue
1403,釣,,金,11,S,1981.0,,pêche
1404,頂,,頁,11,6,,,quelque chose de reçu
1405,鳥,,鳥,11,2,,,oiseau
1406,朝,,月,12,2,,,matinée
1407,貼,,貝,12,S,2010.0,,pâte
1408,超,,走,12,S,,,plus de
1409,腸,,肉,13,4,,,intestins
1410,跳,,足,13,S,,,sauter
1411,徴,徵,彳,14,S,,,signe
1412,嘲,,口,15,S,2010.0,,mépris
1413,潮,,水,15,6,,,marée
1414,澄,,水,15,S,,,clarté
1415,調,,言,15,3,,,clé
1416,聴,聽,耳,17,S,,,audition
1417,懲,懲,心,18,S,,,punition
1418,直,,目,8,2,,,direct
1419,勅,敕,力,9,S,,,édit impérial
1420,捗,,手,10,S,2010.0,,progrès
1421,沈,,水,7,S,,,coulant
1422,珍,,玉,9,S,,,rare
1423,朕,,月,10,S,,,pronom de première personne utilisé par les membres de la famille royale
1424,陳,,阜,11,S,,,Chen (dynastie de Chine)
1425,賃,,貝,13,6,,,salaires
1426,鎮,鎭,金,18,S,,,un poids
1427,追,,辵,9,3,,,poursuite
1428,椎,,木,12,S,2010.0,,chinkapin
1429,墜,,土,15,S,,,saillie en bois du cadre d'une porte japonaise qui s'insère dans un trou du seuil et sert de serrure lorsqu'elle est fermée.
1430,通,,辵,10,2,,,"compteur de lettres, de notes, de documents, etc."
1431,痛,,疒,12,6,,,-algie
1432,塚,塚,土,12,S,1981.0,,monticule
1433,漬,,水,14,S,1981.0,,mariné (quelque chose)
1434,坪,,土,8,S,,,"3,31 mètres carrés"
1435,爪,,爪,4,S,2010.0,,"ongle (par exemple, ongle de la main, ongle de l'orteil)"
1436,鶴,,鳥,21,S,2010.0,,"grue (tout oiseau de la famille des Gruidae, en particulier la grue à couronne rouge, Grus japonensis)"
1437,低,,人,7,4,,,faible
1438,呈,,口,7,S,,,compteur de questions (sur un test)
1439,廷,,廴,7,S,,,tribunal
1440,弟,,弓,7,2,,,frère cadet
1441,定,,宀,8,3,,,fixe
1442,底,,广,8,4,,,"base (logarithmique, exponentielle, système de numération)"
1443,抵,,手,8,S,,,"(après un nom, un adjectif ou un na-adjectif) s'appuyant sur ..."
1444,邸,,邑,8,S,,,manoir
1445,亭,,亠,9,S,1981.0,,suffixe formant la partie finale des pseudonymes de certains écrivains et interprètes
1446,貞,,貝,9,S,,,l'adhésion ferme à ses principes
1447,帝,,巾,9,S,,,empereur (du Japon)
1448,訂,,言,9,S,,,révision
1449,庭,,广,10,3,,,jardin
1450,逓,遞,辵,10,S,,,la multiplication (par exemple de fréquences)
1451,停,,人,11,4,,,"suspension de la musique, de la danse, etc. en signe de deuil"
1452,偵,,人,11,S,1981.0,,espion
1453,堤,,土,12,S,,,banque
1454,提,,手,12,5,,,carafe à saké de cérémonie avec bec verseur et anse semi-circulaire
1455,程,,禾,12,5,,,étendue
1456,艇,,舟,13,S,,,bateau
1457,締,,糸,15,S,,,fermeture
1458,諦,,言,16,S,2010.0,,vérité
1459,泥,,水,8,S,1981.0,,boue
1460,的,,白,8,4,,,cible
1461,笛,,竹,11,3,,,sifflet
1462,摘,,手,14,S,,,"compteur pour les objets longs et fins (par exemple, les épées)"
1463,滴,,水,14,S,,,chute
1464,適,,辵,14,5,,,de manière inattendue
1465,敵,,攴,15,5,,,ennemi
1466,溺,,水,13,S,2010.0,,noyade
1467,迭,,辵,8,S,,,"l'éviction (d'un ministre, etc.)"
1468,哲,,口,10,S,,,philosophie
1469,鉄,鐵,金,13,3,,,fer
1470,徹,,彳,15,S,,,jusqu'au bout
1471,撤,,手,15,S,,,retrait
1472,天,,大,4,1,,,svarga (royaume céleste visité à l'occasion de la mort et de la renaissance)
1473,典,,八,8,4,,,loi
1474,店,,广,8,2,,,boutique
1475,点,點,黑,9,2,,,"compteur de marchandises, d'articles, de vêtements, d'œuvres d'art, etc."
1476,展,,尸,10,6,,,exposition
1477,添,,水,11,S,,,accompagnateur
1478,転,轉,車,11,3,,,modifier la prononciation ou le sens
1479,塡,,土,13,S,2010.0,,insérer
1480,田,,田,5,1,,,rizière
1481,伝,傳,人,6,4,,,transport à cheval
1482,殿,,殳,13,S,,,"Formule d'adresse utilisée pour les lettres officielles et les lettres d'affaires, ainsi que pour les lettres adressées à des personnes de rang inférieur."
1483,電,,雨,13,2,,,(éclair)
1484,斗,,斗,4,S,,,"loge (place assise dans un théâtre, etc.)"
1485,吐,,口,6,S,,,vomir
1486,妬,,女,8,S,2010.0,,jalousie
1487,徒,,彳,10,4,,,inutile
1488,途,,辵,10,S,,,méthode
1489,都,都,邑,11,3,,,métropolitain
1490,渡,,水,12,S,,,qui va ...
1491,塗,,土,13,S,,,revêtement (notamment laquage)
1492,賭,,貝,16,S,2010.0,,paris
1493,土,,土,3,1,,,"la terre (historiquement, surtout par opposition aux cieux)"
1494,奴,,女,5,S,,,homme chevaleresque (vers la période Edo)
1495,努,,力,7,4,,,jamais
1496,度,,广,9,3,,,"degré (angle, température, échelle, etc.)"
1497,怒,,心,9,S,,,colère
1498,刀,,刀,2,2,,,poignard
1499,冬,,冫,5,2,,,l'hiver
1500,灯,燈,火,6,4,,,lumière
1501,当,當,田,6,2,,,cette (organisation commerciale ou lieu)
1502,投,,手,7,3,,,tangage
1503,豆,,豆,7,3,,,"légumineuse (en particulier les légumineuses comestibles ou les haricots, par exemple les haricots bouillis dans de la sauce soja et du sucre)"
1504,東,,木,8,2,,,"Japon oriental (en particulier Kamakura ou Edo, du point de vue de Kyoto ou de Nara)"
1505,到,,刀,8,S,,,enfin
1506,逃,,辵,9,S,,,s'échapper
1507,倒,,人,10,S,,,inverser
1508,凍,,冫,10,S,,,glace pilée (généralement servie avec du sirop simple aromatisé)
1509,唐,,口,10,S,,,Chine
1510,島,,山,10,3,,,île
1511,桃,,木,10,S,,,pêche
1512,討,,言,10,6,,,"poursuivre (par exemple, la criminalité)"
1513,透,,辵,10,S,,,pénétration (de la lumière)
1514,党,黨,黑,10,6,,,parti (politique)
1515,悼,,心,11,S,,,lamentation
1516,盗,盜,皿,11,S,,,vol
1517,陶,,阜,11,S,,,céramique
1518,塔,,土,12,S,,,tour
1519,搭,,手,12,S,1981.0,,embarquement
1520,棟,,木,12,S,1981.0,,grand bâtiment
1521,湯,,水,12,3,,,eau chaude
1522,痘,,疒,12,S,,,pockmark
1523,登,,癶,12,3,,,se rendre (à la capitale)
1524,答,,竹,12,2,,,répondre
1525,等,,竹,12,3,,,(diminuer la signification ou la valeur du mot précédent) les goûts de
1526,筒,,竹,12,S,,,tube
1527,統,,糸,12,5,,,synthèse
1528,稲,稻,禾,14,S,,,rizière
1529,踏,,足,15,S,,,étape
1530,糖,,米,16,6,,,sucre
1531,頭,,頁,16,2,,,(après le radical -masu d'un verbe) le moment où ...
1532,謄,,言,17,S,,,transcription
1533,藤,,艸,18,S,2010.0,,"glycine (notamment glycine japonaise, Wisteria floribunda)"
1534,闘,鬭,鬥,18,S,,,combattre
1535,騰,,馬,20,S,,,hausse des prix
1536,同,,口,6,2,,,les mêmes
1537,洞,,水,9,S,1981.0,,grotte
1538,胴,,肉,10,S,,,torse
1539,動,,力,11,3,,,changer
1540,堂,,土,11,4,,,salle
1541,童,,立,12,3,,,enfant
1542,道,,辵,12,2,,,route
1543,働,,人,13,4,,,travail
1544,銅,,金,14,5,,,cuivre
1545,導,,寸,15,5,,,orientation
1546,瞳,,目,17,S,2010.0,,pupille (de l'œil)
1547,峠,,山,9,S,,,col (de montagne)
1548,匿,,匸,10,S,,,abri
1549,特,,牛,10,4,,,spécial
1550,得,,彳,11,4,,,obtenir
1551,督,,目,13,S,,,directeur (la plus haute des quatre fonctions administratives de la période ritsuryo)
1552,徳,德,彳,14,5,,,la vertu
1553,篤,,竹,16,S,,,grave
1554,毒,,毋,8,4,,,poison
1555,独,獨,犬,9,5,,,Allemagne
1556,読,讀,言,14,2,,,lecture
1557,栃,,木,9,S,2010.0,,Marron d'Inde (Aesculus turbinata)
1558,凸,,凵,5,S,1981.0,,convexe
1559,突,突,穴,8,S,,,tête (du pénis)
1560,届,屆,尸,8,6,,,notification
1561,屯,,屮,4,S,1981.0,,"tonne (aujourd'hui une tonne métrique, c'est-à-dire 1 000 kg)"
1562,豚,,豕,11,S,,,porc
1563,頓,,頁,13,S,2010.0,,rien d'autre que
1564,貪,,貝,11,S,2010.0,,convoitise
1565,鈍,,金,12,S,,,"tard (par exemple, ""tard dans la nuit"")"
1566,曇,,日,16,S,,,temps nuageux
1567,丼,,丶,5,S,2010.0,,bol de riz surmonté d'aliments
1568,那,,邑,7,S,2010.0,,那 (l'un des six pouvoirs bouddhistes supranormaux)
1569,奈,,大,8,S,2010.0,,utilisé après le nom d'une personne qui n'est plus membre de la ...
1570,内,,入,4,2,,,"à l'intérieur (d'un bâtiment, etc.)"
1571,梨,,木,11,S,2010.0,,pomme poire
1572,謎,,言,17,S,2010.0,,mystère
1573,鍋,,金,17,S,2010.0,,marmite
1574,南,,十,9,2,,,sud
1575,軟,,車,11,S,,,doux
1576,難,難,隹,18,6,,,difficulté
1577,二,,二,2,1,,,deux
1578,尼,,尸,5,S,,,nonne
1579,弐,貳,貝,6,S,,,deux (utilisé dans les documents juridiques)
1580,匂,,勹,4,S,2010.0,,sent le ...
1581,肉,,肉,6,2,,,viande
1582,虹,,虫,9,S,2010.0,,arc-en-ciel
1583,日,,日,4,1,,,jour (du mois)
1584,入,,入,2,1,,,revenus
1585,乳,,乙,8,6,,,lait
1586,尿,,尸,7,S,,,l'urine
1587,任,,人,6,5,,,responsabilité
1588,妊,,女,7,S,,,grossesse
1589,忍,,心,7,S,,,la patience
1590,認,,言,14,6,,,reconnaissance
1591,寧,,宀,14,S,,,au lieu de
1592,熱,,火,15,4,,,chaleur
1593,年,,干,6,1,,,année (par exemple AD)
1594,念,,心,8,4,,,attention
1595,捻,,手,11,S,2010.0,,torsion
1596,粘,,米,11,S,,,adhésivité
1597,燃,,火,16,5,,,incendie
1598,悩,惱,心,10,S,,,détresse
1599,納,,糸,10,6,,,"le dernier ... (par exemple, ""le dernier maire"")"
1600,能,,肉,10,5,,,fonction
1601,脳,腦,肉,11,6,,,cerveau
1602,農,,辰,13,3,,,l'agriculture
1603,濃,,水,16,S,,,sombre
1604,把,,手,7,S,1981.0,,grappe
1605,波,,水,8,3,,,vague
1606,派,,水,9,6,,,l'école
1607,破,,石,10,5,,,(en gagaku ou en noh) partie centrale d'une chanson
1608,覇,霸,雨,19,S,1981.0,,hégémonie
1609,馬,,馬,10,2,,,cheval
1610,婆,,女,11,S,,,vieille fille (carte indésirable du jeu de cartes du même nom)
1611,罵,,网,15,S,2010.0,,abus
1612,拝,拜,手,8,6,,,culte
1613,杯,,木,8,S,,,compteur de tasses
1614,背,,肉,9,6,,,retour
1615,肺,,肉,9,6,,,poumon
1616,俳,,人,10,6,,,haïku
1617,配,,酉,10,3,,,"les effectifs (par exemple, les navires)"
1618,排,,手,11,S,,,rejet
1619,敗,,攴,11,4,,,défaite
1620,廃,廢,广,12,S,,,"unité obsolète d'intensité lumineuse (environ 1,0067 candela)"
1621,輩,,車,15,S,,,ensemble (de personnes)
1622,売,賣,貝,7,2,,,vente
1623,倍,,人,10,3,,,fois
1624,梅,梅,木,10,4,,,Prune chinoise
1625,培,,土,11,S,,,culture
1626,陪,,阜,11,S,,,assister (son supérieur) dans la même voiture
1627,媒,,女,12,S,,,intermédiaire
1628,買,,貝,12,2,,,achat
1629,賠,,貝,15,S,,,responsabilité
1630,白,,白,5,1,,,blanc
1631,伯,,人,7,S,,,comte
1632,拍,,手,8,S,,,rythme (musique)
1633,泊,,水,8,S,,,compteur de nuits de séjour
1634,迫,,辵,8,S,,,la presse (c'est-à-dire une personne proche de l'orateur ou une personne non présente mais faisant partie de l'auditoire)
1635,剝,,刀,10,S,2010.0,,"nus (par exemple, les crocs)"
1636,舶,,舟,11,S,,,grand navire
1637,博,,十,12,4,,,Doctorat
1638,薄,,艸,16,S,,,Herbe de la pampa japonaise (Miscanthus sinensis)
1639,麦,麥,麥,7,2,,,blé
1640,漠,,水,13,S,1981.0,,vague
1641,縛,,糸,16,S,,,lier
1642,爆,,火,19,S,,,éclat de rire
1643,箱,,竹,15,3,,,boîte
1644,箸,,竹,15,S,2010.0,,baguettes
1645,畑,,田,9,3,,,domaine (de spécialisation)
1646,肌,,肉,6,S,1981.0,,peau
1647,八,,八,2,1,,,huit
1648,鉢,,金,13,S,1981.0,,marmite
1649,発,發,癶,9,3,,,départ (de ...)
1650,髪,髮,髟,14,S,,,cheveux (sur la tête)
1651,伐,,人,6,S,,,abattage
1652,抜,拔,手,7,S,,,le passé (c'est-à-dire l'âge d'or)
1653,罰,,网,14,S,,,pénalité
1654,閥,,門,14,S,,,clan
1655,反,,又,4,3,,,pour les kimonos : au moins 10 m de long
1656,半,,十,5,2,,,moitié
1657,氾,,水,5,S,2010.0,,inondation
1658,犯,,犬,5,5,,,(un type de) crime
1659,帆,,巾,6,S,,,voile
1660,汎,,水,6,S,2010.0,,pan-
1661,伴,,人,7,S,,,suite
1662,判,,刀,7,5,,,timbre
1663,坂,,土,7,3,,,pente
1664,阪,,阜,7,S,2010.0,,pente
1665,板,,木,8,3,,,conseil
1666,版,,片,8,5,,,édition
1667,班,,玉,10,6,,,groupe
1668,畔,,田,10,S,,,"au bord (par exemple, d'une rivière, d'un étang)"
1669,般,,舟,10,S,,,général
1670,販,,貝,11,S,,,vente
1671,斑,,文,12,S,2010.0,,tacheté
1672,飯,,食,12,4,,,les moyens de subsistance d'une personne
1673,搬,,手,13,S,,,transporter
1674,煩,,火,13,S,,,problème
1675,頒,,頁,13,S,,,distribution
1676,範,,竹,15,S,,,modèle
1677,繁,繁,糸,16,S,,,suffixe formant la partie finale des pseudonymes de certains écrivains et interprètes
1678,藩,,艸,18,S,,,"domaine féodal (période Edo et début Meiji, précurseur des préfectures actuelles)"
1679,晩,晚,日,12,6,,,soirée
1680,番,,田,12,2,,,gardien
1681,蛮,蠻,虫,12,S,,,barbare
1682,盤,,皿,15,S,,,planche (par exemple dans le shogi)
1683,比,,比,4,5,,,ratio
1684,皮,,皮,5,3,,,écorce
1685,妃,,女,6,S,,,princesse
1686,否,,口,7,6,,,non
1687,批,,手,7,6,,,critiquant
1688,彼,,彳,8,S,,,que (quelque chose mentionné auparavant qui est éloigné psychologiquement ou dans le temps)
1689,披,,手,8,S,1981.0,,s'étendre
1690,肥,,肉,8,5,,,engrais
1691,非,,非,8,5,,,un-
1692,卑,卑,十,9,S,,,humble (état)
1693,飛,,飛,9,4,,,tour (shogi)
1694,疲,,疒,10,S,,,fatigue
1695,秘,祕,示,10,6,,,secret
1696,被,,衣,10,S,,,"-ee (par exemple, employé, examinateur, fiduciaire)"
1697,悲,,心,12,3,,,karuna (compassion)
1698,扉,,戶,12,S,1981.0,,porte
1699,費,,貝,12,4,,,dépenses
1700,碑,碑,石,14,S,,,stèle
1701,罷,,网,15,S,,,préfixe verbal humble
1702,避,,辵,16,S,,,éviter
1703,尾,,尸,7,S,,,extrémité de la queue
1704,眉,,目,9,S,2010.0,,sourcils
1705,美,,羊,9,3,,,beauté
1706,備,,人,12,5,,,équipement
1707,微,,彳,13,S,,,minuterie
1708,鼻,,鼻,14,3,,,nez
1709,膝,,肉,15,S,2010.0,,genou
1710,肘,,肉,7,S,2010.0,,coude
1711,匹,,匸,4,S,,,compteur pour petits animaux
1712,必,,心,5,4,,,"les exigences obligatoires (par exemple, les qualifications, les structures administratives, etc.)"
1713,泌,,水,8,S,,,sécrétion
1714,筆,,竹,12,3,,,pinceau d'écriture
1715,姫,,女,10,S,,,princesse
1716,百,,白,6,1,,,cent
1717,氷,,水,5,3,,,glace
1718,表,,衣,8,3,,,"tableau (par exemple, tableau 1)"
1719,俵,,人,10,5,,,balle
1720,票,,示,11,4,,,vote
1721,評,,言,12,5,,,un conseil
1722,漂,,水,14,S,,,dérive (par exemple en fréquence)
1723,標,,木,15,4,,,corde utilisée pour délimiter les lieux consacrés ou comme talisman contre le mal.
1724,苗,,艸,8,S,,,semis
1725,秒,,禾,9,3,,,seconde (60ème min)
1726,病,,疒,10,3,,,maladie
1727,描,,手,11,S,,,dessin
1728,猫,,犬,11,S,1981.0,,chat
1729,品,,口,9,3,,,article
1730,浜,濱,水,10,S,,,bord de mer
1731,貧,,貝,11,5,,,la pauvreté
1732,賓,賓,貝,15,S,,,invité
1733,頻,頻,頁,17,S,1981.0,,fréquence
1734,敏,敏,攴,10,S,,,rapidité
1735,瓶,甁,瓦,11,S,1981.0,,bouteille
1736,不,,一,4,4,,,non
1737,夫,,大,4,4,,,"que (quelqu'un ou quelque chose d'éloigné du locuteur et de l'auditeur, ou une situation inconnue du locuteur et de l'auditeur)"
1738,父,,父,4,2,,,père
1739,付,,人,5,4,,,"daté (par exemple, une lettre)"
1740,布,,巾,5,5,,,tissu
1741,扶,,手,7,S,,,l'assistance
1742,府,,广,8,4,,,Bureau (gouvernemental)
1743,怖,,心,8,S,,,effrayant
1744,阜,,阜,8,S,2010.0,,colline
1745,附,,阜,8,S,,,"daté (par exemple, une lettre)"
1746,訃,,言,9,S,2010.0,,la nouvelle de la mort d'une personne
1747,負,,貝,9,3,,,négatif
1748,赴,,走,9,S,,,aller (à)
1749,浮,,水,10,S,,,flotteur (pêche)
1750,婦,,女,11,5,,,belle-fille (d'une personne)
1751,符,,竹,11,S,,,marque
1752,富,,宀,12,5,,,richesse
