id,new,old,radical,strokes,grade,year_added,Unnamed: 7,translation
1268,速,,辵,10,3,,,speed (as in 4 speed automatic transmission and such)
1269,側,,人,11,4,,,"side (of something, or taking someone's side)"
1270,測,,水,12,5,,,measurement
1271,俗,,人,9,S,,,the world
1272,族,,方,11,3,,,(taxonomical) tribe
1273,属,屬,尸,12,5,,,genus
1274,賊,,貝,13,S,,,resentment
1275,続,續,糸,13,4,,,continuation
1276,卒,,十,8,4,,,graduation
1277,率,,玄,11,5,,,rate
1278,存,,子,6,6,,,existence
1279,村,,木,7,1,,,village
1280,孫,,子,10,4,,,grandchild
1281,尊,,寸,12,6,,,value
1282,損,,手,13,5,,,loss
1283,遜,,辵,14,S,2010.0,,irreverence
1284,他,,人,5,3,,,the rest
1285,多,,夕,6,2,,,multi-
1286,汰,,水,7,S,2010.0,,culling
1287,打,,手,5,3,,,dozen
1288,妥,,女,7,S,,,an answer
1289,唾,,口,11,S,2010.0,,spit
1290,堕,墮,土,12,S,,,omission
1291,惰,,心,12,S,,,inertia
1292,駄,,馬,14,S,1981.0,,poor
1293,太,,大,4,2,,,fat
1294,対,對,寸,7,3,,,"counter for sets (of clothes, small furniture, utensils, etc.)"
1295,体,體,骨,7,2,,,"counter for humanoid forms (e.g. dolls, statues, corpses, etc.)"
1296,耐,,而,9,S,,,resistant
1297,待,,彳,9,3,,,wait
1298,怠,,心,9,S,,,laziness
1299,胎,,肉,9,S,,,womb
1300,退,,辵,9,5,,,degeneracy
1301,帯,帶,巾,10,4,,,obi
1302,泰,,水,10,S,,,Thailand
1303,堆,,土,11,S,2010.0,,piled up high
1304,袋,,衣,11,S,,,bag
1305,逮,,辵,11,S,,,arrest
1306,替,,曰,12,S,,,substitute
1307,貸,,貝,12,5,,,loan
1308,隊,,阜,12,4,,,corps
1309,滞,滯,水,13,S,,,stagnation
1310,態,,心,14,5,,,state
1311,戴,,戈,17,S,2010.0,,crown (of head)
1312,大,,大,3,1,,,large (e.g. serving size)
1313,代,,人,5,3,,,used after a phone number to indicate that it is a switchboard number
1314,台,臺,至,5,2,,,"counter for machines, incl. vehicles"
1315,第,,竹,11,3,,,ordinal
1316,題,,頁,18,3,,,subject
1317,滝,瀧,水,13,S,,,waterfall
1318,宅,,宀,6,6,,,home
1319,択,擇,手,7,S,,,"counter for choices, options, etc."
1320,沢,澤,水,7,S,,,marsh
1321,卓,,十,8,S,,,table
1322,拓,,手,8,S,,,cultivation
1323,託,,言,10,S,,,excuse
1324,濯,,水,17,S,1981.0,,rinse
1325,諾,,言,15,S,,,assent
1326,濁,,水,16,S,,,turbidity
1327,但,,人,7,S,,,as is
1328,達,,辵,12,4,,,pluralizing suffix (esp. for people
1329,脱,,肉,11,S,,,"de- (indicating reversal, removal, etc.)"
1330,奪,,大,14,S,,,robbery
1331,棚,,木,12,S,1981.0,,shelves
1332,誰,,言,15,S,2010.0,,who
1333,丹,,丶,4,S,,,red earth (i.e. containing cinnabar or minium)
1334,旦,,日,5,S,2010.0,,once
1335,担,擔,手,8,6,,,support (e.g. of an element acting as a catalyst)
1336,単,單,口,9,4,,,single
1337,炭,,火,9,3,,,charcoal
1338,胆,膽,肉,9,S,,,liver
1339,探,,手,11,6,,,search
1340,淡,,水,11,S,,,"light (color, colour, taste)"
1341,短,,矢,12,3,,,short
1342,嘆,嘆,口,13,S,,,lamentation
1343,端,,立,14,S,,,for kimonos: at least 10 m in length
1344,綻,,糸,14,S,2010.0,,smile that has come apart at the seams
1345,誕,,言,15,6,,,nativity
1346,鍛,,金,17,S,,,forging
1347,団,團,囗,6,5,,,group
1348,男,,田,7,1,,,guy
1349,段,,殳,9,6,,,(row of) stitches
1350,断,斷,斤,11,5,,,decision
1351,弾,彈,弓,12,S,,,"bead (of sweat, dew, etc.)"
1352,暖,,日,13,6,,,warmth
1353,談,,言,15,3,,,talk
1354,壇,,土,16,S,,,platform
1355,地,,土,6,2,,,(in Japanese music) basic phrase (usu. repetitive)
1356,池,,水,6,2,,,pond
1357,知,,矢,8,2,,,wisdom
1358,値,,人,10,6,,,value
1359,恥,,心,10,S,,,shame
1360,致,,至,10,S,,,ten octillion (short scale)
1361,遅,遲,辵,12,S,,,late
1362,痴,癡,疒,13,S,,,"moha (ignorance, folly)"
1363,稚,,禾,13,S,,,child (esp. of the young son of someone of high social standing)
1364,置,,网,13,4,,,place
1365,緻,,糸,16,S,2010.0,,capacity
1366,竹,,竹,6,1,,,bamboo
1367,畜,,田,10,S,,,livestock
1368,逐,,辵,10,S,,,(after a noun) nominalizing suffix
1369,蓄,,艸,13,S,,,store
1370,築,,竹,16,5,,,building
1371,秩,,禾,10,S,,,official notice
1372,窒,,穴,11,S,,,asphyxiation
1373,茶,,艸,9,2,,,tea
1374,着,,羊,12,3,,,clothes
1375,嫡,,女,14,S,,,legitimate
1376,中,,丨,4,1,,,during (a certain time when one did or is doing something)
1377,仲,,人,6,4,,,brokerage fee
1378,虫,蟲,虫,6,1,,,insect
1379,沖,,水,7,S,,,open sea
1380,宙,,宀,8,6,,,space
1381,忠,,心,8,6,,,loyalty
1382,抽,,手,8,S,,,drawing (of lots)
1383,注,,水,8,3,,,annotation
1384,昼,晝,日,9,2,,,lunch
1385,柱,,木,9,3,,,"counter for buddhas, gods, nobles, etc."
1386,衷,,衣,10,S,,,inner part
1387,酎,,酉,10,S,2010.0,,shochu
1388,鋳,鑄,金,15,S,,,casting
1389,駐,,馬,15,S,,,stationing (e.g. of vehicles)
1390,著,著,艸,11,6,,,work
1391,貯,,貝,12,4,,,savings
1392,丁,,一,2,3,,,even number
1393,弔,,弓,4,S,,,mourning
1394,庁,廳,广,5,6,,,agency
1395,兆,,儿,6,4,,,omen
1396,町,,田,7,1,,,town
1397,長,,長,8,2,,,the greatest of all
1398,挑,,手,9,S,1981.0,,challenge
1399,帳,,巾,11,3,,,book
1400,張,,弓,11,5,,,"Chinese ""Extended Net"" constellation (one of the 28 mansions)"
1401,彫,,彡,11,S,,,chiselled features
1402,眺,,目,11,S,1981.0,,view
1403,釣,,金,11,S,1981.0,,fishing
1404,頂,,頁,11,6,,,something received
1405,鳥,,鳥,11,2,,,bird
1406,朝,,月,12,2,,,morning
1407,貼,,貝,12,S,2010.0,,paste
1408,超,,走,12,S,,,more than
1409,腸,,肉,13,4,,,intestines
1410,跳,,足,13,S,,,jump up
1411,徴,徵,彳,14,S,,,indication
1412,嘲,,口,15,S,2010.0,,scorn
1413,潮,,水,15,6,,,tide
1414,澄,,水,15,S,,,clarity
1415,調,,言,15,3,,,key
1416,聴,聽,耳,17,S,,,hearing
1417,懲,懲,心,18,S,,,punishment
1418,直,,目,8,2,,,direct
1419,勅,敕,力,9,S,,,imperial decree
1420,捗,,手,10,S,2010.0,,progress
1421,沈,,水,7,S,,,sinking
1422,珍,,玉,9,S,,,rare
1423,朕,,月,10,S,,,first person pronoun used by royalty
1424,陳,,阜,11,S,,,Chen (dynasty of China)
1425,賃,,貝,13,6,,,wages
1426,鎮,鎭,金,18,S,,,a weight
1427,追,,辵,9,3,,,chase
1428,椎,,木,12,S,2010.0,,chinkapin
1429,墜,,土,15,S,,,"wooden protrusion from a Japanese door frame that fits a hole in the threshold, acting as a lock when closed"
1430,通,,辵,10,2,,,"counter for letters, notes, documents, etc."
1431,痛,,疒,12,6,,,-algia
1432,塚,塚,土,12,S,1981.0,,mound
1433,漬,,水,14,S,1981.0,,pickled (something)
1434,坪,,土,8,S,,,3.31 square meters
1435,爪,,爪,4,S,2010.0,,"nail (e.g. fingernail, toenail)"
1436,鶴,,鳥,21,S,2010.0,,"crane (any bird of the family Gruidae, esp. the red-crowned crane, Grus japonensis)"
1437,低,,人,7,4,,,low
1438,呈,,口,7,S,,,counter for questions (on a test)
1439,廷,,廴,7,S,,,court
1440,弟,,弓,7,2,,,younger brother
1441,定,,宀,8,3,,,fixed
1442,底,,广,8,4,,,"base (logarithmic, exponential, number system)"
1443,抵,,手,8,S,,,at the same time as
1444,邸,,邑,8,S,,,mansion
1445,亭,,亠,9,S,1981.0,,suffix forming the final part of the pseudonyms of some writers and performers
1446,貞,,貝,9,S,,,firm adherence to one's principles
1447,帝,,巾,9,S,,,emperor (of Japan)
1448,訂,,言,9,S,,,revision
1449,庭,,广,10,3,,,garden
1450,逓,遞,辵,10,S,,,multiplication (e.g. of frequencies)
1451,停,,人,11,4,,,"suspension of music, dance, etc. as a sign of mourning"
1452,偵,,人,11,S,1981.0,,spy
1453,堤,,土,12,S,,,embankment
1454,提,,手,12,5,,,ceremonial sake decanter with a spout and semicircular handle
1455,程,,禾,12,5,,,extent
1456,艇,,舟,13,S,,,boat
1457,締,,糸,15,S,,,fastening
1458,諦,,言,16,S,2010.0,,truth
1459,泥,,水,8,S,1981.0,,mud
1460,的,,白,8,4,,,target
1461,笛,,竹,11,3,,,whistle
1462,摘,,手,14,S,,,"counter for long, thin things (i.e. swords)"
1463,滴,,水,14,S,,,drop
1464,適,,辵,14,5,,,unexpectedly
1465,敵,,攴,15,5,,,enemy
1466,溺,,水,13,S,2010.0,,drowning
1467,迭,,辵,8,S,,,"ouster (i.e. of a minister, etc.)"
1468,哲,,口,10,S,,,philosophy
1469,鉄,鐵,金,13,3,,,iron
1470,徹,,彳,15,S,,,all the way
1471,撤,,手,15,S,,,withdrawal
1472,天,,大,4,1,,,svarga (heaven-like realm visited as a stage of death and rebirth)
1473,典,,八,8,4,,,ceremony
1474,店,,广,8,2,,,store
1475,点,點,黑,9,2,,,point
1476,展,,尸,10,6,,,exhibition
1477,添,,水,11,S,,,attendant
1478,転,轉,車,11,3,,,altering pronunciation or meaning
1479,塡,,土,13,S,2010.0,,have a ring-shaped container placed between two pillars (esp. one that restricts freedom of movement when closed)
1480,田,,田,5,1,,,rice field
1481,伝,傳,人,6,4,,,horseback transportation
1482,殿,,殳,13,S,,,"form of address used for official letters and business letters, and in letters to inferiors"
1483,電,,雨,13,2,,,(flash of) lightning
1484,斗,,斗,4,S,,,measuring container
1485,吐,,口,6,S,,,vomit
1486,妬,,女,8,S,2010.0,,jealousy
1487,徒,,彳,10,4,,,as is
1488,途,,辵,10,S,,,method
1489,都,都,邑,11,3,,,metropolitan
1490,渡,,水,12,S,,,going across
1491,塗,,土,13,S,,,coating (esp. lacquering)
1492,賭,,貝,16,S,2010.0,,betting
1493,土,,土,3,1,,,"the earth (historically, esp. as opposed to the heavens)"
1494,奴,,女,5,S,,,chivalrous man (c. Edo period)
1495,努,,力,7,4,,,never
1496,度,,广,9,3,,,"degree (angle, temperature, scale, etc.)"
1497,怒,,心,9,S,,,anger
1498,刀,,刀,2,2,,,dagger
1499,冬,,冫,5,2,,,winter
1500,灯,燈,火,6,4,,,light
1501,当,當,田,6,2,,,this (business organisation or place)
1502,投,,手,7,3,,,pitching
1503,豆,,豆,7,3,,,"legume (esp. edible legumes or beans, such as beans boiled in soy sauce and sugar)"
1504,東,,木,8,2,,,"eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara)"
1505,到,,刀,8,S,,,at last
1506,逃,,辵,9,S,,,escape
1507,倒,,人,10,S,,,reverse
1508,凍,,冫,10,S,,,shaved ice (usually served with flavored simple syrup)
1509,唐,,口,10,S,,,China
1510,島,,山,10,3,,,island
1511,桃,,木,10,S,,,peach
1512,討,,言,10,6,,,a hit (e.g. in baseball)
1513,透,,辵,10,S,,,penetration (of light)
1514,党,黨,黑,10,6,,,party (political)
1515,悼,,心,11,S,,,lamentation
1516,盗,盜,皿,11,S,,,theft
1517,陶,,阜,11,S,,,ceramics fired at a high temperature
1518,塔,,土,12,S,,,tower
1519,搭,,手,12,S,1981.0,,boarding
1520,棟,,木,12,S,1981.0,,large building
1521,湯,,水,12,3,,,hot water
1522,痘,,疒,12,S,,,pockmark
1523,登,,癶,12,3,,,climbing
1524,答,,竹,12,2,,,answer
1525,等,,竹,12,3,,,(lessening the significance or value of the previous word) the likes of
1526,筒,,竹,12,S,,,tube
1527,統,,糸,12,5,,,syntax
1528,稲,稻,禾,14,S,,,rice-plant
1529,踏,,足,15,S,,,step
1530,糖,,米,16,6,,,sugar
1531,頭,,頁,16,2,,,head
1532,謄,,言,17,S,,,transcript
1533,藤,,艸,18,S,2010.0,,"wisteria (esp. Japanese wisteria, Wisteria floribunda)"
1534,闘,鬭,鬥,18,S,,,fight
1535,騰,,馬,20,S,,,price jump
1536,同,,口,6,2,,,the same
1537,洞,,水,9,S,1981.0,,cave
1538,胴,,肉,10,S,,,torso
1539,動,,力,11,3,,,change
1540,堂,,土,11,4,,,hall
1541,童,,立,12,3,,,child
1542,道,,辵,12,2,,,"the way (of proper conduct, etc.)"
1543,働,,人,13,4,,,work
1544,銅,,金,14,5,,,copper
1545,導,,寸,15,5,,,guidance
1546,瞳,,目,17,S,2010.0,,pupil (of eye)
1547,峠,,山,9,S,,,(mountain) pass
1548,匿,,匸,10,S,,,shelter
1549,特,,牛,10,4,,,special
1550,得,,彳,11,4,,,obtain
1551,督,,目,13,S,,,director (highest of the four administrative positions of the ritsuryo period)
1552,徳,德,彳,14,5,,,virtue
1553,篤,,竹,16,S,,,faithfulness
1554,毒,,毋,8,4,,,poison
1555,独,獨,犬,9,5,,,Germany
1556,読,讀,言,14,2,,,reading
1557,栃,,木,9,S,2010.0,,Japanese horse chestnut (Aesculus turbinata)
1558,凸,,凵,5,S,1981.0,,convex
1559,突,突,穴,8,S,,,tweezers (esp. in a medical or laboratory setting)
1560,届,屆,尸,8,6,,,notification
1561,屯,,屮,4,S,1981.0,,gathering
1562,豚,,豕,11,S,,,pig
1563,頓,,頁,13,S,2010.0,,nothing but
1564,貪,,貝,11,S,2010.0,,coveting
1565,鈍,,金,12,S,,,"late (e.g. ""late at night"")"
1566,曇,,日,16,S,,,cloudy weather
1567,丼,,丶,5,S,2010.0,,bowl of rice with food on top
1568,那,,邑,7,S,2010.0,,那 (one of the six supernormal Buddhist powers)
1569,奈,,大,8,S,2010.0,,used after the name of someone who is no longer a member of their equals or inferiors
1570,内,,入,4,2,,,our
1571,梨,,木,11,S,2010.0,,apple pear
1572,謎,,言,17,S,2010.0,,mystery
1573,鍋,,金,17,S,2010.0,,pot
1574,南,,十,9,2,,,south
1575,軟,,車,11,S,,,soft
1576,難,難,隹,18,6,,,difficulty
1577,二,,二,2,1,,,two
1578,尼,,尸,5,S,,,nun
1579,弐,貳,貝,6,S,,,two (used in legal documents)
1580,匂,,勹,4,S,2010.0,,smacks of ...
1581,肉,,肉,6,2,,,meat
1582,虹,,虫,9,S,2010.0,,rainbow
1583,日,,日,4,1,,,day (of the month)
1584,入,,入,2,1,,,income
1585,乳,,乙,8,6,,,milk
1586,尿,,尸,7,S,,,urine
1587,任,,人,6,5,,,responsibility
1588,妊,,女,7,S,,,pregnancy
1589,忍,,心,7,S,,,patience
1590,認,,言,14,6,,,recognition
1591,寧,,宀,14,S,,,instead
1592,熱,,火,15,4,,,heat
1593,年,,干,6,1,,,counter for years (following a number in the hito-futa-mi counting system)
1594,念,,心,8,4,,,attention
1595,捻,,手,11,S,2010.0,,twist
1596,粘,,米,11,S,,,stickiness
1597,燃,,火,16,5,,,combustion
1598,悩,惱,心,10,S,,,anguish
1599,納,,糸,10,6,,,"the last ... (e.g. ""the last mayor"")"
1600,能,,肉,10,5,,,function
1601,脳,腦,肉,11,6,,,brain
1602,農,,辰,13,3,,,agriculture
1603,濃,,水,16,S,,,dark
1604,把,,手,7,S,1981.0,,bunch
1605,波,,水,8,3,,,wave
1606,派,,水,9,6,,,school
1607,破,,石,10,5,,,(in gagaku or noh) middle section of a song
1608,覇,霸,雨,19,S,1981.0,,hegemony
1609,馬,,馬,10,2,,,horse
1610,婆,,女,11,S,,,old maid (undesirable card in the card game of the same name)
1611,罵,,网,15,S,2010.0,,abuse
1612,拝,拜,手,8,6,,,worship
1613,杯,,木,8,S,,,counter for cupfuls
1614,背,,肉,9,6,,,back
1615,肺,,肉,9,6,,,lung
1616,俳,,人,10,6,,,haiku
1617,配,,酉,10,3,,,manning (e.g. vessel)
1618,排,,手,11,S,,,rejection
1619,敗,,攴,11,4,,,defeat
1620,廃,廢,广,12,S,,,abolition
1621,輩,,車,15,S,,,suffixed to words indicating a class of people to create a plural (esp. in impolite contexts)
1622,売,賣,貝,7,2,,,sale
1623,倍,,人,10,3,,,times
1624,梅,梅,木,10,4,,,Chinese plum
1625,培,,土,11,S,,,cultivation
1626,陪,,阜,11,S,,,attending on (one's superior) in the same carriage
1627,媒,,女,12,S,,,middleman
1628,買,,貝,12,2,,,purchase
1629,賠,,貝,15,S,,,liability
1630,白,,白,5,1,,,white
1631,伯,,人,7,S,,,earl
1632,拍,,手,8,S,,,beat (music)
1633,泊,,水,8,S,,,counter for nights of a stay
1634,迫,,辵,8,S,,,press (i.e. someone for something)
1635,剝,,刀,10,S,2010.0,,bare (e.g. fangs)
1636,舶,,舟,11,S,,,large ship
1637,博,,十,12,4,,,PhD
1638,薄,,艸,16,S,,,Japanese pampas grass (Miscanthus sinensis)
1639,麦,麥,麥,7,2,,,wheat
1640,漠,,水,13,S,1981.0,,vague
1641,縛,,糸,16,S,,,bind
1642,爆,,火,19,S,,,burst of laughter
1643,箱,,竹,15,3,,,box
1644,箸,,竹,15,S,2010.0,,chopsticks
1645,畑,,田,9,3,,,birthplace
1646,肌,,肉,6,S,1981.0,,skin
1647,八,,八,2,1,,,eight
1648,鉢,,金,13,S,1981.0,,pot
1649,発,發,癶,9,3,,,departing (from ...)
1650,髪,髮,髟,14,S,,,hair (on the head)
1651,伐,,人,6,S,,,felling
1652,抜,拔,手,7,S,,,not including
1653,罰,,网,14,S,,,penalty
1654,閥,,門,14,S,,,clan
1655,反,,又,4,3,,,for kimonos: at least 10 m in length
1656,半,,十,5,2,,,half
1657,氾,,水,5,S,2010.0,,flood
1658,犯,,犬,5,5,,,(some type of) crime
1659,帆,,巾,6,S,,,sail
1660,汎,,水,6,S,2010.0,,pan-
1661,伴,,人,7,S,,,retinue
1662,判,,刀,7,5,,,stamp
1663,坂,,土,7,3,,,slope
1664,阪,,阜,7,S,2010.0,,slope
1665,板,,木,8,3,,,board
1666,版,,片,8,5,,,edition
1667,班,,玉,10,6,,,group
1668,畔,,田,10,S,,,"by the side of (e.g. a river, pond)"
1669,般,,舟,10,S,,,general
1670,販,,貝,11,S,,,sale
1671,斑,,文,12,S,2010.0,,mottled
1672,飯,,食,12,4,,,one's livelihood
1673,搬,,手,13,S,,,carry
1674,煩,,火,13,S,,,trouble
1675,頒,,頁,13,S,,,distribution
1676,範,,竹,15,S,,,model
1677,繁,繁,糸,16,S,,,suffix forming the final part of the pseudonyms of some writers and performers
1678,藩,,艸,18,S,,,"feudal domain (Edo and early Meiji periods, precursor to current prefectures)"
1679,晩,晚,日,12,6,,,evening
1680,番,,田,12,2,,,guard
1681,蛮,蠻,虫,12,S,,,barbarian
1682,盤,,皿,15,S,,,board (e.g. in shogi)
1683,比,,比,4,5,,,ratio
1684,皮,,皮,5,3,,,peel
1685,妃,,女,6,S,,,princess
1686,否,,口,7,6,,,no
1687,批,,手,7,6,,,criticizing
1688,彼,,彳,8,S,,,that (something mentioned before which is distant psychologically or in terms of time)
1689,披,,手,8,S,1981.0,,spread out
1690,肥,,肉,8,5,,,fertilizer
1691,非,,非,8,5,,,an-
1692,卑,卑,十,9,S,,,humble (informal)
1693,飛,,飛,9,4,,,rook (shogi)
1694,疲,,疒,10,S,,,fatigue
1695,秘,祕,示,10,6,,,secret
1696,被,,衣,10,S,,,"-ee (e.g. employee, examinee, trustee)"
1697,悲,,心,12,3,,,karuna (compassion)
1698,扉,,戶,12,S,1981.0,,door
1699,費,,貝,12,4,,,expense
1700,碑,碑,石,14,S,,,stele
1701,罷,,网,15,S,,,strike (i.e. strike while firing)
1702,避,,辵,16,S,,,avoiding
1703,尾,,尸,7,S,,,tail end
1704,眉,,目,9,S,2010.0,,eyebrows
1705,美,,羊,9,3,,,beauty
1706,備,,人,12,5,,,equipment
1707,微,,彳,13,S,,,minuteness
1708,鼻,,鼻,14,3,,,nose
1709,膝,,肉,15,S,2010.0,,knee
1710,肘,,肉,7,S,2010.0,,elbow
1711,匹,,匸,4,S,,,counter for small animals
1712,必,,心,5,4,,,"mandatory requirements (e.g. qualifications, administrative structures, etc.)"
1713,泌,,水,8,S,,,secretion
1714,筆,,竹,12,3,,,writing brush
1715,姫,,女,10,S,,,princess
1716,百,,白,6,1,,,hundred
1717,氷,,水,5,3,,,ice
1718,表,,衣,8,3,,,table (e.g. Table 1)
1719,俵,,人,10,5,,,counter for sacks
1720,票,,示,11,4,,,ticket
1721,評,,言,12,5,,,a council
1722,漂,,水,14,S,,,drift (e.g. in frequency)
1723,標,,木,15,4,,,rope used to cordon off consecrated areas or as a talisman against evil
1724,苗,,艸,8,S,,,seedling
1725,秒,,禾,9,3,,,second (60th min)
1726,病,,疒,10,3,,,disease
1727,描,,手,11,S,,,drawing
1728,猫,,犬,11,S,1981.0,,cat
1729,品,,口,9,3,,,counter for dishes or courses (at a restaurant)
1730,浜,濱,水,10,S,,,beach
1731,貧,,貝,11,5,,,poverty
1732,賓,賓,貝,15,S,,,guest
1733,頻,頻,頁,17,S,1981.0,,frequency
1734,敏,敏,攴,10,S,,,sharpness
1735,瓶,甁,瓦,11,S,1981.0,,bottle
1736,不,,一,4,4,,,non-
1737,夫,,大,4,4,,,that (something mentioned before which is distant psychologically or in terms of time)
1738,父,,父,4,2,,,father
1739,付,,人,5,4,,,dated (e.g. a letter)
1740,布,,巾,5,5,,,cloth
1741,扶,,手,7,S,,,support (e.g. of an element acting as a catalyst)
1742,府,,广,8,4,,,(government) office
1743,怖,,心,8,S,,,frightening
1744,阜,,阜,8,S,2010.0,,hill
1745,附,,阜,8,S,,,dated (e.g. a letter)
1746,訃,,言,9,S,2010.0,,news of someone's death
1747,負,,貝,9,3,,,negative
1748,赴,,走,9,S,,,going (to)
1749,浮,,水,10,S,,,float (fishing)
1750,婦,,女,11,5,,,wife
1751,符,,竹,11,S,,,mark
1752,富,,宀,12,5,,,wealth
1753,普,,日,12,S,,,general
1754,腐,,肉,14,S,,,rotten
1755,敷,,攴,15,S,,,suffix indicating room size (following a number of tatami mats and a counter)
1756,膚,,肉,15,S,,,grain (e.g. of wood)
1757,賦,,貝,15,S,,,classical Chinese rhymed prose
1758,譜,,言,19,S,,,(musical) score
1759,侮,侮,人,8,S,,,(something) despised
1760,武,,止,8,5,,,martial arts
1761,部,,邑,11,3,,,hereditary occupational group (Yamato period)
1762,舞,,舛,15,S,,,dance
1763,封,,寸,9,S,,,seal
1764,風,,風,9,2,,,unsewn part of a hanging sleeve on a traditional Japanese woman's garment
1765,伏,,人,6,S,,,hemming
1766,服,,月,8,3,,,mourning
1767,副,,刀,11,4,,,vice-
1768,幅,,巾,12,S,,,range (e.g. of voice)
1769,復,,彳,12,5,,,and
1770,福,福,示,13,3,,,good fortune
1771,腹,,肉,13,6,,,one's true motive
1772,複,,衣,14,5,,,double
1773,覆,,襾,18,S,,,covering
1774,払,拂,手,5,S,,,"pay (e.g. money, a bill, one's taxes, etc.)"
1775,沸,,水,8,S,,,seethe
1776,仏,佛,人,4,5,,,France
1777,物,,牛,8,3,,,used after a phone number to indicate that it is a switchboard number
1778,粉,,米,10,4,,,powder
1779,紛,,糸,10,S,,,confusion
1780,雰,,雨,12,S,1981.0,,air
1781,噴,,口,15,S,,,jet (of water)
1782,墳,,土,15,S,,,burial mound
1783,憤,,心,15,S,,,resentment
1784,奮,,大,16,6,,,stirring
1785,分,,刀,4,2,,,one percent (one-tenth of a wari)
1786,文,,文,4,1,,,(in traditional Eastern music) step (corresponding to a Western semitone)
1787,聞,,耳,14,2,,,hearing
1788,丙,,一,5,S,,,3rd in rank
1789,平,,干,5,3,,,ordinary
1790,兵,,八,7,4,,,soldier
1791,併,倂,人,8,S,,,together
1792,並,竝,立,8,6,,,row of (e.g. houses)
1793,柄,,木,9,S,,,"stalk (of a mushroom, leaf, etc.)"
1794,陛,,阜,10,6,,,Imperial Majesty
1795,閉,,門,11,6,,,closing
1796,塀,塀,土,12,S,1981.0,,wall
1797,幣,,巾,15,S,,,staff with plaited paper streamers
1798,弊,,廾,15,S,,,harm
1799,蔽,,艸,15,S,2010.0,,cover
1800,餅,餠,食,15,S,2010.0,,mochi rice cake
1801,米,,米,6,2,,,meter (i.e. a gauge)
1802,壁,,土,16,S,,,wall
1803,璧,,玉,18,S,2010.0,,bi (ancient Chinese artifact; flat jade or glass disc with a circular hole in the centre)
1804,癖,,疒,18,S,,,peculiarity
1805,別,,刀,7,4,,,exception
1806,蔑,,艸,14,S,2010.0,,scorn
1807,片,,片,4,6,,,piece
1808,辺,邊,辵,5,4,,,"suffix used as a rough indicator of location, direction, time, etc."
1809,返,,辵,7,3,,,marks a bulletin board post that was deleted because it contained inappropriate content
1810,変,變,言,9,4,,,change
1811,偏,,人,11,S,,,left-hand radical of a character
1812,遍,,辵,12,S,,,number of times
1813,編,,糸,15,5,,,compilation (of a text)
1814,弁,辨瓣辯,辛瓜辛,5,5,,,valve
1815,便,,人,9,4,,,stool
1816,勉,勉,力,10,3,,,swot
1817,歩,步,止,8,2,,,foot soldier (Edo period)
1818,保,,人,9,5,,,maintenance
1819,哺,,口,10,S,2010.0,,nursing
1820,捕,,手,10,S,,,seizure
1821,補,,衣,12,6,,,probationary ...
1822,舗,,舌,15,S,,,store
1823,母,,毋,5,2,,,mother
1824,募,,力,12,S,,,recruitment
1825,墓,,土,13,5,,,tomb
1826,慕,,心,14,S,,,yearning
1827,暮,,日,14,6,,,end
1828,簿,,竹,19,S,,,register
1829,方,,方,4,2,,,"side (e.g. ""on my mother's side"")"
1830,包,,勹,5,4,,,yurt
1831,芳,,艸,7,S,,,fragrance
1832,邦,,邑,7,S,,,country
1833,奉,,大,8,S,,,carrying under one's arm
1834,宝,寶,宀,8,6,,,treasure
1835,抱,,手,8,S,,,harbour (e.g. grudge)
1836,放,,攴,8,3,,,casting off one's attachments (in Zen)
1837,法,,水,8,4,,,law
1838,泡,,水,8,S,1981.0,,foam
1839,胞,,肉,9,S,,,follicle (esp. an ovarian follicle)
1840,俸,,人,10,S,1981.0,,salary
1841,倣,,人,10,S,,,copying
1842,峰,,山,10,S,,,peak
1843,砲,,石,10,S,,,gun
1844,崩,,山,11,S,,,collapse
1845,訪,,言,11,6,,,visit
1846,報,,土,12,5,,,information
1847,蜂,,虫,13,S,2010.0,,wasp
1848,豊,豐,豆,13,5,,,abundance
1849,飽,,食,13,S,,,one-tenth of the way from the base to the summit of a mountain
1850,褒,襃,衣,15,S,1981.0,,praise
1851,縫,,糸,16,S,,,sewing
1852,亡,,亠,3,6,,,dead
1853,乏,,丿,4,S,,,poverty
1854,忙,,心,6,S,,,busy
1855,坊,,土,7,S,,,I (used by male children)
1856,妨,,女,7,S,,,hindrance
1857,忘,,心,7,6,,,forget
1858,防,,阜,7,5,,,protection
1859,房,,戶,8,S,,,tassel
1860,肪,,肉,8,S,,,fat
1861,某,,木,9,S,,,certain
1862,冒,,冂,9,S,,,"sacrificing to create a shortage of liberties, then capturing (in the game of go)"
1863,剖,,刀,10,S,,,necropsy
1864,紡,,糸,10,S,,,spinning
1865,望,,月,11,4,,,full moon
1866,傍,,人,12,S,,,beside
1867,帽,,巾,12,S,,,cap
1868,棒,,木,12,6,,,rod
1869,貿,,貝,12,5,,,trade
1870,貌,,豸,14,S,2010.0,,honour
1871,暴,,日,15,5,,,tyranny
1872,膨,,肉,16,S,,,swelling
1873,謀,,言,16,S,,,plan
1874,頰,,頁,16,S,2010.0,,cheek (of face)
1875,北,,匕,5,2,,,north
1876,木,,木,4,1,,,tree
1877,朴,,木,6,S,1981.0,,Chinese nettle tree
1878,牧,,牛,8,4,,,grazing land
